# lnl weight tau omegabh2 omegach2 logA theta ns
3.739831000000000131e+03 2.000000000000000000e+00 8.901406000000000596e-02 2.308278000000000066e-02 1.105571999999999944e-01 3.144146244171297955e+00 1.043885710979772924e-02 9.791037999999999686e-01
3.742867000000000189e+03 3.000000000000000000e+00 8.347189000000000692e-02 2.347300999999999901e-02 1.083791000000000060e-01 3.095891134030082092e+00 1.045665854186086929e-02 9.878510999999999820e-01
3.741072999999999865e+03 1.000000000000000000e+00 8.298495000000000177e-02 2.308937000000000142e-02 1.176753999999999994e-01 3.167034169632002794e+00 1.041068258777804074e-02 9.740161999999999987e-01
3.740621000000000095e+03 7.000000000000000000e+00 7.158336999999999339e-02 2.335144000000000108e-02 1.158631999999999995e-01 3.146278895130040887e+00 1.040087017666825077e-02 9.714051000000000213e-01
3.739032000000000153e+03 1.100000000000000000e+01 7.425692999999999877e-02 2.254464000000000121e-02 1.139618000000000020e-01 3.175731552613794140e+00 1.036238948523711921e-02 9.612093999999999916e-01
3.741090000000000146e+03 2.100000000000000000e+01 9.332110000000000405e-02 2.271387999999999879e-02 1.185660000000000047e-01 3.227794336450192425e+00 1.035682892009434988e-02 9.613192000000000403e-01
3.739085000000000036e+03 2.000000000000000000e+00 8.233659999999999590e-02 2.205528000000000002e-02 1.174796000000000035e-01 3.231060094265115090e+00 1.036841156681717925e-02 9.524818999999999924e-01
3.739813000000000102e+03 1.000000000000000000e+00 8.931801000000000323e-02 2.185563999999999910e-02 1.107145999999999963e-01 3.212743460297242226e+00 1.036867104690884084e-02 9.515818999999999805e-01
3.739994000000000142e+03 4.000000000000000000e+00 9.586417999999999329e-02 2.222027999999999850e-02 1.098603999999999969e-01 3.211432592615277137e+00 1.037093586201384005e-02 9.549898999999999472e-01
3.740304000000000087e+03 1.000000000000000000e+00 6.845962999999999354e-02 2.236675000000000121e-02 1.199632000000000059e-01 3.211422114861965049e+00 1.040837479972023076e-02 9.523922999999999695e-01
3.739373000000000047e+03 3.000000000000000000e+00 8.552743000000000151e-02 2.340586000000000055e-02 1.166385000000000061e-01 3.179981138562390619e+00 1.041990639395332964e-02 9.713317000000000201e-01
3.741911000000000058e+03 6.000000000000000000e+00 6.947398000000000462e-02 2.329880000000000145e-02 1.083305999999999991e-01 3.137660129513521134e+00 1.037614933211532947e-02 9.614314999999999944e-01
3.740065000000000055e+03 6.000000000000000000e+00 7.313266000000000211e-02 2.292328000000000074e-02 1.110276999999999931e-01 3.165113379371292446e+00 1.037197972544695070e-02 9.572233999999999465e-01
3.739916000000000167e+03 3.000000000000000000e+00 7.467210999999999987e-02 2.307522000000000045e-02 1.162765000000000049e-01 3.190702250755010017e+00 1.037823246923233987e-02 9.595179000000000347e-01
3.740324999999999818e+03 2.000000000000000000e+00 8.424418000000000184e-02 2.234836999999999935e-02 1.142055000000000015e-01 3.242148893797689446e+00 1.034079267202821055e-02 9.432209999999999761e-01
3.740264999999999873e+03 2.000000000000000000e+00 9.742230999999999808e-02 2.240009000000000097e-02 1.095288999999999985e-01 3.231784547638686611e+00 1.033778024106423062e-02 9.501283999999999841e-01
3.738311000000000149e+03 1.100000000000000000e+01 8.297841000000000244e-02 2.259241999999999848e-02 1.067893000000000037e-01 3.148576958083382227e+00 1.036718335322422968e-02 9.683386999999999967e-01
3.739820999999999913e+03 2.000000000000000000e+00 7.966576999999999686e-02 2.254681000000000046e-02 1.069804000000000033e-01 3.122623040952171802e+00 1.041056134600473922e-02 9.763085999999999709e-01
3.739838999999999942e+03 2.000000000000000000e+00 7.723401000000000571e-02 2.262795000000000084e-02 1.069361999999999951e-01 3.122501038571432463e+00 1.042462856655338062e-02 9.751752999999999671e-01
3.741853000000000065e+03 9.000000000000000000e+00 8.778974000000000499e-02 2.249477999999999894e-02 1.164908999999999945e-01 3.204302548650740157e+00 1.044851809517925029e-02 9.696527000000000340e-01
3.742018000000000029e+03 3.000000000000000000e+00 8.036171999999999760e-02 2.338089999999999960e-02 1.152640000000000053e-01 3.155227787132572459e+00 1.045507272678087955e-02 9.813458000000000458e-01
3.743748999999999796e+03 3.000000000000000000e+00 7.614635000000000153e-02 2.342920999999999893e-02 1.187538000000000066e-01 3.157862602556372966e+00 1.043937186655219916e-02 9.836956000000000033e-01
3.742557999999999993e+03 1.000000000000000000e+00 5.689324999999999938e-02 2.332593999999999987e-02 1.184116999999999947e-01 3.135325071190202095e+00 1.042541230659544023e-02 9.743777999999999606e-01
3.739708000000000084e+03 3.000000000000000000e+00 6.429442000000000490e-02 2.247868999999999909e-02 1.181091999999999975e-01 3.207152170606085484e+00 1.038609484747608086e-02 9.518113000000000268e-01
3.738411000000000058e+03 1.700000000000000000e+01 7.278648000000000062e-02 2.228781000000000165e-02 1.174192000000000013e-01 3.209266199968167310e+00 1.037823000063045967e-02 9.540524999999999700e-01
3.739065000000000055e+03 1.600000000000000000e+01 9.820405000000000106e-02 2.271685000000000024e-02 1.177963000000000066e-01 3.225591226003504897e+00 1.038780134610436945e-02 9.680727999999999556e-01
3.739840000000000146e+03 3.000000000000000000e+00 8.668434999999999335e-02 2.202165000000000025e-02 1.197589000000000015e-01 3.237337160878403619e+00 1.037825143308031967e-02 9.579438999999999593e-01
3.738456000000000131e+03 2.000000000000000000e+00 7.766742999999999564e-02 2.241643999999999928e-02 1.152968000000000048e-01 3.192459567655546948e+00 1.037238223405381049e-02 9.609267000000000225e-01
3.739264000000000124e+03 5.000000000000000000e+00 9.121978000000000031e-02 2.210795000000000121e-02 1.177321000000000062e-01 3.250005819325015644e+00 1.036839516380063005e-02 9.523363999999999718e-01
3.739300000000000182e+03 5.000000000000000000e+00 8.611317000000000277e-02 2.193511000000000072e-02 1.156752999999999948e-01 3.224447872139375892e+00 1.037443027272239027e-02 9.555732000000000115e-01
3.740487000000000080e+03 3.000000000000000000e+00 9.550474999999999937e-02 2.163361999999999924e-02 1.154576999999999964e-01 3.251426264202540661e+00 1.038543546900890999e-02 9.532176999999999456e-01
3.739822000000000116e+03 5.000000000000000000e+00 7.951980999999999633e-02 2.164927999999999991e-02 1.140493000000000062e-01 3.219528012147835128e+00 1.039218903899698926e-02 9.534029000000000531e-01
3.740976999999999862e+03 1.000000000000000000e+01 8.970348000000000210e-02 2.208995000000000056e-02 1.110966000000000037e-01 3.203346263010284911e+00 1.042403724140293989e-02 9.633312000000000541e-01
3.740393999999999778e+03 4.000000000000000000e+00 8.454696000000000433e-02 2.216554000000000094e-02 1.137026000000000009e-01 3.195486412743104854e+00 1.041486352453089952e-02 9.617714000000000540e-01
3.740244999999999891e+03 2.000000000000000000e+00 8.019054000000000459e-02 2.237280999999999992e-02 1.177353000000000011e-01 3.234584987318244842e+00 1.042204660402946959e-02 9.505101000000000244e-01
3.739793000000000120e+03 1.000000000000000000e+00 7.404148000000000673e-02 2.237180000000000071e-02 1.135340999999999989e-01 3.193327836548295995e+00 1.041888562362574926e-02 9.534949999999999815e-01
3.739869999999999891e+03 1.000000000000000000e+00 9.034119999999999651e-02 2.233668000000000112e-02 1.049328999999999956e-01 3.197914054024637576e+00 1.038512534015209078e-02 9.484987000000000279e-01
3.741547000000000025e+03 1.100000000000000000e+01 9.439403000000000377e-02 2.237965000000000093e-02 1.083867000000000025e-01 3.207758657526035506e+00 1.036229993525076935e-02 9.515156000000000169e-01
3.740900000000000091e+03 1.200000000000000000e+01 1.016419999999999962e-01 2.218041999999999930e-02 1.088613999999999971e-01 3.229291789871217233e+00 1.038953070334193082e-02 9.510418999999999956e-01
3.741833000000000084e+03 6.000000000000000000e+00 7.104164000000000312e-02 2.300659000000000037e-02 1.176206999999999947e-01 3.188896502220342821e+00 1.043017615564371947e-02 9.571922000000000486e-01
3.741485000000000127e+03 5.000000000000000000e+00 6.739393000000000467e-02 2.240479999999999902e-02 1.126893999999999951e-01 3.180162439002665486e+00 1.043544627365491050e-02 9.547073999999999838e-01
3.739436000000000149e+03 2.000000000000000000e+00 8.203085999999999711e-02 2.329287999999999845e-02 1.043661000000000033e-01 3.118944102167171994e+00 1.041620705757951952e-02 9.724739999999999496e-01
3.739240999999999985e+03 4.000000000000000000e+00 6.309140000000000581e-02 2.204769999999999994e-02 1.091455999999999954e-01 3.154491745137274705e+00 1.036464771381383036e-02 9.554388000000000325e-01
3.739088000000000193e+03 3.000000000000000000e+00 7.638867000000000573e-02 2.214966000000000157e-02 1.087531999999999943e-01 3.167947516496728788e+00 1.037651101409345009e-02 9.604000000000000314e-01
3.741262999999999920e+03 4.000000000000000000e+00 9.052785000000000692e-02 2.213189999999999949e-02 1.059433999999999931e-01 3.154330903710149681e+00 1.041004064756930955e-02 9.702988000000000168e-01
3.741777999999999793e+03 3.000000000000000000e+00 8.744535999999999976e-02 2.296277999999999861e-02 1.058044999999999958e-01 3.116029036039015487e+00 1.045280727578165939e-02 9.843984000000000067e-01
3.741054000000000087e+03 2.000000000000000000e+00 1.140275000000000039e-01 2.305083999999999952e-02 1.036934000000000050e-01 3.143259639008686435e+00 1.042909966180700920e-02 9.910588000000000175e-01
3.741318999999999960e+03 1.200000000000000000e+01 8.601134000000000557e-02 2.290462999999999874e-02 1.071005000000000013e-01 3.136645292316894817e+00 1.044203013351814070e-02 9.786325000000000163e-01
3.741126999999999953e+03 6.000000000000000000e+00 8.737251999999999519e-02 2.295043000000000083e-02 1.104326000000000058e-01 3.178259225919497499e+00 1.045061156562072935e-02 9.678255000000000052e-01
3.738860000000000127e+03 8.000000000000000000e+00 9.407588999999999535e-02 2.332143000000000063e-02 1.124677000000000038e-01 3.168455833251282439e+00 1.043392307633528998e-02 9.779360999999999748e-01
3.740271999999999935e+03 1.000000000000000000e+00 9.163053000000000170e-02 2.244818999999999981e-02 1.185239000000000015e-01 3.245897041228324120e+00 1.040791116683687997e-02 9.576059999999999572e-01
3.743023999999999887e+03 1.000000000000000000e+00 1.043649999999999994e-01 2.227242999999999931e-02 1.211443999999999993e-01 3.270386475632142353e+00 1.041928561861720989e-02 9.601376999999999828e-01
